"","Crop","Plot","Range","Unique.ID","Lentil","Wheat","Rep_gen","Facet","Combo","Rep_combo","Type","Col","Row","Block","BlockRow","BlockCol","Name","ENV","Planting.Date..date.","HD","HT","MAT","LD","YLD","Y.ADJ","TWT","KWT","PRO","Notes"
"59","Wheat",1381,21,"1381-CW1","CL2","CW1",57,"CW1","CL2-CW1",1,"Check",21,14,11,4,1,"AAC Schrader","Hunter2025","16-May-25",58,102,106,1,2684,7328,79.4,50.5,15.2,""
"60","Wheat",1790,10,"1790-CW1","CL3","CW1",58,"CW1","CL3-CW1",1,"Check",10,29,14,9,5,"AAC Schrader","Hunter2025","16-May-25",59,85,107,1,2803,7653,78.6,52.5,15.2,""
"61","Wheat",2461,1,"2461-CW1","CL2","CW1",59,"CW1","CL2-CW1",2,"Check",1,52,31,4,1,"AAC Schrader","Hunter2025","16-May-25",58,97,107,1,2479,6768,79.5,51.4,15.2,""
"62","Wheat",2633,8,"2633-CW1","CL3","CW1",60,"CW1","CL3-CW1",2,"Check",8,57,32,9,3,"AAC Schrader","Hunter2025","16-May-25",56,96,105,1,2383,6505,78.4,50,15.2,""
"63","Wheat",2856,25,"2856-CW1","CL1","CW1",61,"CW1","CL1-CW1",2,"Check",25,66,41,8,5,"AAC Schrader","Hunter2025","16-May-25",57,99,104,3,2714,7410,79,49.4,15.2,""
"64","Wheat",3170,11,"3170-CW1","CL3","CW1",62,"CW1","CL3-CW1",2,"Check",11,76,45,9,1,"AAC Schrader","Hunter2025","16-May-25",57,93,103,1,2468,6737,78.9,48.1,15.2,""
"65","Wheat",1738,18,"1738-CW1","CL3","CW1",63,"CW1","CL3-CW1",1,"Check",18,27,16,7,3,"AAC Schrader","Hunter2025","16-May-25",56,91,106,1,2432,8329,78.7,51,15.3,""
"66","Wheat",1785,5,"1785-CW1","CL2","CW1",64,"CW1","CL2-CW1",1,"Check",5,29,13,9,5,"AAC Schrader","Hunter2025","16-May-25",56,91,105,1,2660,7262,78.7,53.3,15.3,""
"67","Wheat",2713,13,"2713-CW1","CL2","CW1",65,"CW1","CL2-CW1",2,"Check",13,61,39,3,3,"AAC Schrader","Hunter2025","16-May-25",58,103,107,1,3127,8535,80.4,50.8,15.3,""
"68","Wheat",2752,9,"2752-CW1","CL3","CW1",66,"CW1","CL3-CW1",2,"Check",9,62,38,4,4,"AAC Schrader","Hunter2025","16-May-25",58,96,104,1,2580,7043,78.8,49.2,15.3,""
"69","Wheat",3009,9,"3009-CW1","CL3","CW1",67,"CW1","CL3-CW1",2,"Check",9,71,44,4,4,"AAC Schrader","Hunter2025","16-May-25",58,101,106,1,2931,8002,80,50.3,15.3,""
"70","Wheat",1043,18,"1043-CW1","CL2","CW1",68,"CW1","CL2-CW1",1,"Check",18,3,4,2,3,"AAC Schrader","Hunter2025","16-May-25",57,90,106,1,2424,6618,78,52.3,15.4,""
"71","Wheat",2779,19,"2779-CW1","CL1","CW1",69,"CW1","CL1-CW1",2,"Check",19,63,40,5,4,"AAC Schrader","Hunter2025","16-May-25",58,96,106,1,2453,6695,78.8,51,15.4,""
"72","Wheat",1235,6,"1235-CW1","CL3","CW1",70,"CW1","CL3-CW1",1,"Check",6,9,2,8,1,"AAC Schrader","Hunter2025","16-May-25",56,91,105,1,2268,6192,77.6,51.8,15.5,""
"73","Wheat",1451,30,"1451-CW1","CL2","CW1",71,"CW1","CL2-CW1",1,"Check",30,17,12,7,5,"AAC Schrader","Hunter2025","16-May-25",58,97,107,1,2791,7619,79.3,51,15.5,""
"74","Wheat",1658,3,"1658-CW1","CL3","CW1",72,"CW1","CL3-CW1",1,"Check",3,24,13,4,3,"AAC Schrader","Hunter2025","16-May-25",56,83,107,1,1889,6468,78.3,51.4,15.5,""
"75","Wheat",1953,8,"1953-CW1","CL3","CW1",73,"CW1","CL3-CW1",1,"Check",8,34,20,5,3,"AAC Schrader","Hunter2025","16-May-25",56,92,104,1,2764,7546,78.4,51.4,15.5,""
"76","Wheat",2003,18,"2003-CW1","CL3","CW1",74,"CW1","CL3-CW1",1,"Check",18,36,22,7,3,"AAC Schrader","Hunter2025","16-May-25",55,97,106,1,2474,6754,78.4,52.3,15.5,""
"77","Wheat",2137,24,"2137-CW1","CL3","CW1",75,"CW1","CL3-CW1",2,"Check",24,41,29,2,4,"AAC Schrader","Hunter2025","16-May-25",56,88,105,1,2303,6286,78,50.6,15.5,""
"78","Wheat",2685,16,"2685-CW1","CL3","CW1",76,"CW1","CL3-CW1",2,"Check",16,60,40,2,1,"AAC Schrader","Hunter2025","16-May-25",56,86,104,1,2587,7063,78,50.4,15.5,""
"79","Wheat",2726,26,"2726-CW1","CL2","CW1",77,"CW1","CL2-CW1",2,"Check",26,61,42,3,1,"AAC Schrader","Hunter2025","16-May-25",57,97,106,1,2735,7468,79.5,52.1,15.5,""
"80","Wheat",1117,4,"1117-CW1","CL3","CW1",78,"CW1","CL3-CW1",1,"Check",4,5,1,4,4,"AAC Schrader","Hunter2025","16-May-25",56,78,106,4,2165,5909,78.6,51.4,15.6,""
"81","Wheat",1186,6,"1186-CW1","CL1","CW1",79,"CW1","CL1-CW1",1,"Check",6,8,2,7,1,"AAC Schrader","Hunter2025","16-May-25",56,90,105,1,1960,5352,78.8,52.4,15.6,""
"82","Wheat",1569,29,"1569-CW1","CL2","CW1",80,"CW1","CL2-CW1",1,"Check",29,21,18,1,4,"AAC Schrader","Hunter2025","16-May-25",57,95,107,1,2830,7725,79,51.2,15.6,""
